id	normal	piercing	spread	sticky	cluster	recover	poison	paralysis	sleep	exhaust	flaming	water	freeze	thunder	dragon	slicing	wyvern	demon	armor	tranq	deviation	specialAmmo
465	5;4;0	5;0;0	10;6;6	0;0;0	0;0;0	1;1	0;0	2;0	0;0	1;0	0	0	0	0	0	0	0	1	1	3	Average	Wyvernsnipe
353	1;5;3	0;0;2	0;0;3	0;0;0	0;0;0	1;0	3;0	2;0	0;0	0;0	0	0	0	0	0	0	1	0	0	3	High	Wyvernheart
469	7;6;4	0;0;3	0;0;3	0;0;0	0;0;0	2;0	7;0	1;0	5;0	7;6	7	0	0	7	3	2	1	0	2	3	High	Wyvernheart
468	10;9;6	9;7;0	9;6;5	4;0;0	3;0;0	0;0	5;5	4;0	0;0	0;0	7	0	0	0	0	4	1	2	0	3	High	Wyvernsnipe
464	10;9;0	9;7;5	9;0;0	0;3;0	0;2;0	0;0	0;0	4;3	4;0	0;0	0	0	0	7	3	4	1	2	0	3	None	Wyvernheart
354	5;4;3	10;8;0	3;2;1	2;0;0	3;0;0	1;1	3;2	2;0	2;0	0;0	5	0	0	0	0	0	1	0	0	3	Low	Wyvernheart
466	1;5;2	4;3;2	1;0;0	2;0;0	1;1;0	0;0	0;2	0;1	0;1	0;0	4	4	0	0	2	2	1	0	1	3	Average	Wyvernheart
239	1;5;3	4;0;0	1;3;3	0;2;1	0;0;0	1;1	0;0	0;1	0;1	0;0	0	4	4	0	2	0	1	1	1	3	Average	Wyvernheart
246	1;5;3	4;3;2	0;0;0	2;0;0	1;0;0	1;0	3;0	2;0	0;0	1;0	0	0	0	0	0	0	1	1	0	3	High	Wyvernsnipe
242	5;4;0	10;8;6	0;0;0	2;0;0	3;3;0	1;0	0;0	0;0	2;1	1;4	5	0	5	0	0	1	1	0	1	3	None	Wyvernheart
252	7;6;0	6;5;3	0;0;0	4;0;0	0;0;0	2;0	0;0	1;4	0;0	0;6	0	0	7	7	0	0	1	0	2	3	Low	Wyvernsnipe
355	9;6;5	7;5;0	6;4;4	3;3;2	0;1;1	0;0	0;0	0;0	0;0	0;0	0	0	0	0	0	0	1	0	0	3	High	Wyvernsnipe
356	7;6;4	6;5;0	6;3;0	4;3;0	1;0;0	0;0	7;5	0;0	5;3	0;0	0	7	7	0	3	2	1	0	0	3	Low	Wyvernsnipe
410	5;4;3	10;8;6	0;0;0	2;0;0	0;0;0	1;1	3;0	2;1	2;0	0;4	5	0	0	0	0	1	1	1	1	3	None	Wyvernheart
254	5;4;3	5;4;2	10;0;0	2;2;1	1;1;1	0;0	3;2	0;0	0;0	0;0	5	0	0	0	0	1	2	1	0	3	Low	Wyvernheart
255	12;0;6	0;7;5	0;6;5	0;0;2	0;0;1	0;2	0;0	0;0	0;0	0;6	7	7	7	7	3	0	1	2	3	3	Average	Wyvernheart
678	7;6;4	6;5;3	6;0;0	4;3;0	1;1;0	2;2	7;5	1;4	0;0	7;0	7	0	7	0	3	2	1	0	0	3	Average	Wyvernsnipe
679	1;5;3	4;3;0	1;3;3	2;2;1	1;0;0	0;0	0;0	0;0	0;0	1;0	0	0	0	0	2	2	1	1	1	3	High	Wyvernsnipe
680	10;9;6	9;7;5	9;0;0	4;0;0	3;2;1	3;2	0;0	0;0	4;3	1;6	0	7	0	7	3	4	1	0	0	3	Low	Wyvernsnipe
227	4;3;2	5;2;2	3;0;0	2;1;1	0;0;0	0;0	5;3	0;0	0;0	0;0	4	0	0	0	0	0	0	1	0	2	High	Wyvernblast
230	4;3;2	5;0;0	3;2;2	2;0;0	0;0;0	3;0	0;0	4;3	0;0	0;0	0	0	0	0	1	0	0	0	1	2	Average	Wyvernblast
592	1;3;3	0;0;0	0;0;0	2;2;1	0;0;0	0;0	0;4	0;3	0;0	5;4	4	0	0	4	0	1	0	1	0	2	Average	Wyvernblast
593	4;3;2	5;2;2	3;2;2	0;0;0	0;0;0	0;0	5;0	4;0	0;0	4;3	0	3	0	0	0	0	0	1	0	2	None	Wyvernblast
217	6;4;3	5;3;2	4;0;0	2;0;0	0;0;0	0;0	5;1	0;0	0;0	0;0	0	0	0	0	0	1	0	0	0	2	Low	Wyvernblast
594	3;2;1	4;0;2	3;0;2	2;0;0	0;0;0	0;0	6;0	3;0	5;0	5;5	0	0	0	0	3	2	0	2	0	2	Low	Wyvernblast
232	3;0;0	4;0;0	3;0;0	0;0;0	0;0;0	0;0	6;0	3;0	5;0	5;0	5	0	0	0	3	0	0	2	2	2	Low	Wyvernblast
595	6;4;3	5;3;0	4;3;0	2;1;0	0;0;0	3;2	5;1	5;0	0;0	0;0	0	4	4	0	0	1	0	0	0	2	Low	Wyvernblast
596	4;4;2	3;0;0	0;2;1	2;1;1	0;0;0	0;0	0;0	5;0	0;0	0;0	3	0	0	0	2	0	0	0	2	2	Average	Wyvernblast
224	1;1;0	1;3;0	1;3;2	2;0;0	0;0;0	3;2	0;0	0;0	0;0	0;0	0	0	4	0	0	1	0	1	2	2	Low	Wyvernblast
597	1;1;3	1;3;0	1;3;0	2;0;0	0;0;0	3;2	1;0	5;0	1;0	5;0	4	4	0	0	0	1	0	0	2	2	Low	Wyvernblast
601	3;3;0	4;4;2	3;0;0	2;0;0	0;0;0	3;2	0;5	3;0	0;0	0;0	0	0	0	3	3	2	0	0	0	2	Low	Wyvernblast
318	3;3;0	4;4;2	3;0;0	2;0;0	0;0;0	3;2	0;5	3;0	0;0	0;0	0	0	0	3	3	2	0	0	0	2	Low	Wyvernblast
602	6;3;3	5;3;2	4;3;2	0;0;0	0;0;0	0;0	0;0	0;0	0;0	5;4	0	0	0	0	0	0	0	2	2	2	Average	Wyvernblast
603	4;2;0	3;0;0	3;4;2	2;0;0	0;0;0	3;2	6;0	0;0	5;0	4;0	0	3	3	0	0	2	0	0	0	2	Average	Wyvernblast
221	1;1;3	1;3;0	1;3;0	2;0;0	0;0;0	3;2	1;0	5;0	1;0	5;0	4	4	0	0	0	1	0	0	2	2	Average	Wyvernblast
228	3;2;0	3;2;0	4;4;2	2;1;1	0;0;0	3;2	6;5	3;0	5;4	0;0	0	3	0	0	0	0	0	2	0	2	Low	Wyvernblast
598	4;4;2	3;2;2	3;0;0	2;0;0	0;0;0	3;0	6;5	0;0	0;0	0;0	3	0	0	0	0	2	0	2	0	2	High	Wyvernblast
223	3;2;0	4;4;0	3;0;0	2;1;0	0;0;0	3;2	0;5	3;3	0;0	0;0	0	0	0	3	0	2	0	0	0	2	Low	Wyvernblast
219	6;4;3	5;3;0	4;3;0	2;1;0	0;0;0	3;2	5;1	1;0	5;0	0;0	0	4	4	0	0	1	0	0	0	2	Low	Wyvernblast
599	3;2;0	3;2;0	4;4;2	2;1;1	0;0;0	3;2	6;5	3;0	5;4	0;0	0	3	0	0	0	0	0	2	0	2	Low	Wyvernblast
600	5;3;2	5;0;0	3;2;2	2;0;0	0;0;0	3;0	0;0	4;3	0;0	0;0	0	0	0	0	1	0	0	0	1	2	Average	Wyvernblast
387	3;0;2	5;2;2	3;0;0	0;0;0	0;0;0	0;0	5;3	0;0	0;0	0;0	3	0	0	0	0	0	0	1	0	2	High	Wyvernblast
225	6;4;3	5;0;0	4;3;2	2;0;0	0;0;0	3;2	0;0	1;4	0;0	0;0	4	0	0	4	1	0	0	2	2	2	Average	Wyvernblast
220	1;1;3	1;3;2	0;0;0	2;2;1	0;0;0	0;0	0;4	0;3	0;0	5;4	4	0	0	4	1	0	0	1	0	2	Average	Wyvernblast
285	3;2;1	0;0;2	0;0;2	2;1;1	0;0;0	0;0	0;5	0;0	5;0	5;5	0	0	0	0	3	2	0	2	0	2	High	Wyvernblast
229	4;4;2	3;0;0	0;2;1	2;1;1	0;0;0	0;0	0;0	0;0	5;0	0;0	3	0	0	0	2	0	0	0	2	2	Average	Wyvernblast
222	4;4;2	3;2;2	3;0;0	2;0;0	0;0;0	3;0	6;5	0;0	0;0	0;0	3	0	0	0	0	2	0	2	0	2	Low	Wyvernblast
438	1;3;3	0;0;0	0;0;0	2;2;1	0;0;0	0;0	0;4	0;3	0;0	5;4	4	0	0	4	0	1	0	1	0	2	Average	Wyvernblast
434	4;3;2	5;2;2	3;2;2	0;0;0	0;0;0	0;0	5;0	4;0	0;0	4;3	0	3	0	0	0	0	0	1	0	2	None	Wyvernblast
439	3;2;1	4;0;2	3;0;2	2;0;0	0;0;0	0;0	6;0	3;0	5;0	5;5	0	0	0	0	3	2	0	2	0	2	Low	Wyvernblast
388	6;4;3	5;3;0	4;3;0	2;1;0	0;0;0	3;2	5;1	1;0	5;0	0;0	0	4	4	0	0	1	0	0	0	2	Low	Wyvernblast
435	4;4;2	3;0;0	0;2;1	2;1;1	0;0;0	0;0	0;0	0;0	5;0	0;0	3	0	0	0	2	0	0	0	2	2	Average	Wyvernblast
440	1;1;3	1;3;0	1;3;0	2;0;0	0;0;0	3;2	1;0	5;0	1;0	5;0	4	4	0	0	0	1	0	0	2	2	Low	Wyvernblast
436	4;4;2	3;2;2	3;0;0	2;0;0	0;0;0	3;0	6;5	0;0	0;0	0;0	3	0	0	0	0	2	0	2	0	2	High	Wyvernblast
437	3;2;0	3;2;0	4;4;2	2;1;1	0;0;0	3;2	6;5	3;0	5;4	0;0	0	3	0	0	0	0	0	2	0	2	Low	Wyvernblast
441	5;3;2	5;0;0	3;2;2	2;0;0	0;0;0	3;0	0;0	4;3	0;0	0;0	0	0	0	0	1	0	0	0	1	2	Average	Wyvernblast
442	3;0;2	5;2;2	3;0;0	0;0;0	0;0;0	0;0	5;3	0;0	0;0	0;0	3	0	0	0	0	0	0	1	0	2	High	Wyvernblast
218	4;3;2	5;0;0	3;2;2	2;0;0	0;0;0	3;3	0;0	0;3	0;3	0;0	0	4	0	0	1	1	0	1	1	2	Average	Wyvernblast
233	1;1;0	1;0;0	1;3;2	2;2;1	0;0;0	0;0	0;0	0;0	0;0	0;0	0	0	0	0	1	1	0	0	0	2	High	Wyvernblast
235	3;2;2	3;2;1	4;4;0	2;0;0	0;0;0	0;0	0;0	3;0	5;0	5;5	0	0	3	0	0	2	0	0	2	2	Low	Wyvernblast
237	6;4;3	5;3;0	4;0;0	2;1;0	0;0;0	3;2	5;1	1;4	5;1	0;0	0	0	0	0	0	0	0	0	0	2	None	Wyvernblast
226	3;2;1	4;0;2	3;0;2	2;0;0	0;0;0	0;0	6;0	3;0	5;0	5;5	0	0	0	0	3	2	0	2	0	2	Low	Wyvernblast
231	4;3;0	5;2;2	3;2;0	2;0;0	0;0;0	0;0	5;0	4;0	5;0	4;0	0	0	0	4	0	1	0	1	0	2	None	Wyvernblast
234	3;2;1	4;4;0	0;0;0	0;0;0	0;0;0	3;0	0;0	3;3	0;0	0;5	0	5	5	3	0	0	0	0	2	2	Low	Wyvernblast
408	3;3;0	4;4;2	3;0;0	2;0;0	0;0;0	3;2	0;5	3;0	0;0	0;0	0	0	0	3	3	2	0	0	0	2	Low	Wyvernblast
409	6;3;3	5;3;2	4;3;2	0;0;0	0;0;0	0;0	0;0	0;0	0;0	5;4	0	0	0	0	0	0	0	2	2	2	Average	Wyvernblast
407	4;2;0	3;0;0	3;4;2	2;0;0	0;0;0	3;2	6;0	0;0	5;0	4;0	0	3	3	0	0	2	0	0	0	2	average	Wyvernblast
236	6;0;3	0;3;2	0;3;2	0;0;1	0;0;0	0;0	0;1	0;4	0;1	0;4	4	4	4	4	1	1	0	0	0	2	Average	Wyvernblast
675	4;3;2	3;2;2	3;0;0	2;1;0	0;0;0	3;0	6;5	3;3	0;0	0;0	3	0	3	0	2	2	0	2	2	2	Average	Wyvernblast
676	4;3;2	5;2;0	3;2;2	2;1;1	0;0;0	0;0	0;0	0;0	0;0	4;0	0	0	0	0	1	1	0	0	0	2	High	Wyvernblast
677	3;2;1	4;4;2	3;0;0	2;1;0	0;0;0	3;2	0;0	0;0	5;4	5;5	0	3	0	3	3	2	0	0	0	2	Low	Wyvernblast
