id	name	tags
208	Diablos Greaves Alpha	
207	Diablos Greaves Beta	
220	High Metal Greaves Alpha	
219	High Metal Greaves Beta	
218	Ingot Greaves Alpha	
217	Ingot Greaves Beta	
216	Lavasioth Greaves Alpha	
215	Lavasioth Greaves Beta	
214	Legiana Greaves Alpha	
213	Legiana Greaves Beta	
212	Odogaron Greaves Alpha	
211	Odogaron Greaves Beta	
210	Rathalos Greaves Alpha	
209	Rathalos Greaves Beta	
399	Rath Heart Greaves Alpha	pink;rathian
400	Rath Heart Greaves Beta	pink;rathian
379	Zorah Spurs Alpha	magdaros
380	Zorah Spurs Beta	magdaros
371	Azure Starlord Guards Alpha	
200	Bazel Greaves Alpha	bazelgeuse;dodogama
199	Bazel Greaves Beta	bazelgeuse;dodogama
198	Damascus Greaves Alpha	
197	Damascus Greaves Beta	
194	Death Stench Heel Alpha	
193	Death Stench Heel Beta	
204	Diablos Nero Greaves Alpha	black;diablos
203	Diablos Nero Greaves Beta	black;diablos
196	Dober Greaves Alpha	
195	Dober Greaves Beta	
206	Rath Soul Greaves Alpha	azure;rathalos
205	Rath Soul Greaves Beta	azure;rathalos
202	Uragaan Greaves Alpha	
201	Uragaan Greaves Beta	
222	Commission Pants Alpha	
221	Commission Pants Beta	
366	Dante's Leather Boots Alpha	
224	Guild Cross Boots Alpha	
223	Guild Cross Boots Beta	
190	Kaiser Greaves Alpha	teostra
189	Kaiser Greaves Beta	teostra
184	Kirin Leg Guards Alpha	
183	Kirin Leg Guards Beta	
360	Kulve Taroth's Wrath Alpha	
361	Kulve Taroth's Wrath Beta	
188	Kushala Crus Alpha	kushala;daora
187	Kushala Crus Beta	kushala;daora
192	Nergigante Greaves Alpha	
191	Nergigante Greaves Beta	
186	Vaal Hazak Greaves Alpha	
185	Vaal Hazak Greaves Beta	
329	Vangis Greaves Alpha	deviljho
330	Vangis Greaves Beta	deviljho
182	Xeno'jiva Spurs Alpha	xenojiva
181	Xeno'jiva Spurs Beta	xenojiva
449	Empress Greaves Alpha	lunastra
450	Empress Greaves Beta	lunastra
333	Aloy's Arms Alpha	
338	Blossom Cuffs Alpha	
441	Jyura Vambraces Alpha	jyuratodus
442	Jyura Vambraces Beta	jyuratodus
431	Kadachi Vambraces Alpha	tobi;kadachi
432	Kadachi Vambraces Beta	tobi;kadachi
421	Lumu Vambraces Alpha	paolumu
422	Lumu Vambraces Beta	paolumu
411	Rathian Vambraces Alpha	
412	Rathian Vambraces Beta	
391	Baan Vambraces Alpha 	radobaan
392	Baan Vambraces Beta 	radobaan
374	Brigade Vambraces Alpha	
349	Brigade Vambraces Beta	
120	Diablos Vambraces Alpha	
119	Diablos Vambraces Beta	
132	High Metal Vambraces Alpha	
131	High Metal Vambraces Beta	
130	Ingot Vambraces Alpha	
129	Ingot Vambraces Beta	
128	Lavasioth Vambraces Alpha	
127	Lavasioth Vambraces Beta	
126	Legiana Vambraces Alpha	
125	Legiana Vambraces Beta	
124	Odogaron Vambraces Alpha	
123	Odogaron Vambraces Beta	
122	Rathalos Vambraces Alpha	
121	Rathalos Vambraces Beta	
401	Rath Heart Braces Alpha	pink;rathian
402	Rath Heart Braces Beta	pink;rathian
381	Zorah Claws Alpha	magdaros
382	Zorah Claws Beta	magdaros
369	Azure Starlord Gauntlets Alpha	
112	Bazel Vambraces Alpha	bazelgeuse;dodogama
111	Bazel Vambraces Beta	bazelgeuse;dodogama
110	Damascus Vambraces Alpha	
109	Damascus Vambraces Beta	
106	Death Stench Grip Alpha	
105	Death Stench Grip Beta	
116	Diablos Nero Braces Alpha	black;diablos
115	Diablos Nero Braces Beta	black;diablos
108	Dober Vambraces Alpha	
107	Dober Vambraces Beta	
118	Rath Soul Braces Alpha	azure;rathalos
117	Rath Soul Braces Beta	azure;rathalos
114	Uragaan Vambraces Alpha	
113	Uragaan Vambraces Beta	
134	Commission Vambraces Alpha	
133	Commission Vambraces Beta	
364	Dante's Gloves Alpha	
136	Guild Cross Vambraces Alpha	
135	Guild Cross Vambraces Beta	
102	Kaiser Vambraces Alpha	teostra
101	Kaiser Vambraces Beta	teostra
96	Kirin Longarms Alpha	
95	Kirin Longarms Beta	
356	Kulve Taroth's Rage Alpha	
357	Kulve Taroth's Rage Beta	
100	Kushala Grip Alpha	kushala;daora
99	Kushala Grip Beta	kushala;daora
104	Nergigante Vambraces Alpha	
103	Nergigante Vambraces Beta	
98	Vaal Hazak Braces Alpha	
97	Vaal Hazak Braces Beta	
325	Vangis Vambraces Alpha	deviljho
326	Vangis Vambraces Beta	deviljho
94	Xeno'jiva Claws Alpha	xenojiva
93	Xeno'jiva Claws Beta	xenojiva
451	Empress Vambraces Alpha	lunastra
452	Empress Vambraces Beta	lunastra
331	Aloy's Head Alpha	
336	Blossom Headgear Alpha	
443	Jyura Helm Alpha	jyuratodus
444	Jyura Helm Beta	jyuratodus
433	Kadachi Helm Alpha	tobi;kadachi
434	Kadachi Helm Beta	tobi;kadachi
423	Lumu Hat Alpha	paolumu
424	Lumu Hat Beta	paolumu
413	Rathian Helm Alpha	
414	Rathian Helm Beta	
393	Baan Helm Alpha 	radobaan
394	Baan Helm Beta 	radobaan
375	Brigade Lobos Alpha	
347	Brigade Lobos Beta	
30	Diablos Helm Alpha	
29	Diablos Helm Beta	
40	Faux Felyne Alpha	
44	High Metal Helm Alpha	
43	High Metal Helm Beta	
42	Ingot Helm Alpha	
41	Ingot Helm Beta	
38	Lavasioth Helm Alpha	
37	Lavasioth Helm Beta	
36	Legiana Helm Alpha	
35	Legiana Helm Beta	
34	Odogaron Helm Alpha	
33	Odogaron Helm Beta	
32	Rathalos Helm Alpha	
31	Rathalos Helm Beta	
403	Rath Heart Helm Alpha	pink;rathian
404	Rath Heart Helm Beta	pink;rathian
39	Strategist Spectacles Alpha	
383	Zorah Headgear Alpha	magdaros
384	Zorah Headgear Beta	magdaros
367	Azure Starlord Crown Alpha	
22	Bazel Helm Alpha	bazelgeuse;dodogama
21	Bazel Helm Beta	bazelgeuse;dodogama
20	Damascus Helm Alpha	
19	Damascus Helm Beta	
16	Death Stench Brain Alpha	
15	Death Stench Brain Beta	
26	Diablos Nero Helm Alpha	black;diablos
25	Diablos Nero Helm Beta	black;diablos
18	Dober Helm Alpha	
17	Dober Helm Beta	
28	Rath Soul Helm Alpha	azure;rathalos
27	Rath Soul Helm Beta	azure;rathalos
14	Skull Mask Alpha	
24	Uragaan Helm Alpha	
23	Uragaan Helm Beta	
321	Vangis Helm Alpha	deviljho
322	Vangis Helm Beta	deviljho
46	Commission Gorget Alpha	
45	Commission Gorget Beta	
362	Dante's Hair Alpha	
1	Dragonking Eyepatch Alpha	
48	Guild Cross Circlet Alpha	
47	Guild Cross Circlet Beta	
11	Kaiser Crown Alpha	teostra
10	Kaiser Crown Beta	teostra
5	Kirin Horn Alpha	
4	Kirin Horn Beta	
352	Kulve Taroth's Fury Alpha	
353	Kulve Taroth's Fury Beta	
9	Kushala Glare Alpha	kushala;daora
8	Kushala Glare Beta	kushala;daora
13	Nergigante Helm Alpha	
12	Nergigante Helm Beta	
7	Vaal Hazak Helm Alpha	
6	Vaal Hazak Helm Beta	
3	Xeno'jiva Headgear Alpha	xenojiva
2	Xeno'jiva Headgear Beta	xenojiva
453	Empress Crown Alpha	lunastra
454	Empress Crown Beta	lunastra
334	Aloy's Torso Alpha	
339	Blossom Coat Alpha	
445	Jyura Coil Alpha	jyuratodus
446	Jyura Coil Beta	jyuratodus
435	Kadachi Coil Alpha	tobi;kadachi
436	Kadachi Coil Beta	tobi;kadachi
425	Lumu Coil Alpha	paolumu
426	Lumu Coil Beta	paolumu
415	Rathian Coil Alpha	
416	Rathian Coil Beta	
395	Baan Coil Alpha 	radobaan
396	Baan Coil Beta 	radobaan
376	Brigade Coil Alpha	
350	Brigade Coil Beta	
164	Diablos Coil Alpha	
163	Diablos Coil Beta	
176	High Metal Coil Alpha	
175	High Metal Coil Beta	
174	Ingot Coil Alpha	
173	Ingot Coil Beta	
172	Lavasioth Coil Alpha	
171	Lavasioth Coil Beta	
170	Legiana Coil Alpha	
169	Legiana Coil Beta	
168	Odogaron Coil Alpha	
167	Odogaron Coil Beta	
166	Rathalos Coil Alpha	
165	Rathalos Coil Beta	
405	Rath Heart Coil Alpha	pink;rathian
406	Rath Heart Coil Beta	pink;rathian
385	Zorah Spine Alpha	magdaros
386	Zorah Spine Beta	magdaros
370	Azure Starlord Tassets Alpha	
156	Bazel Coil Alpha	bazelgeuse;dodogama
155	Bazel Coil Beta	bazelgeuse;dodogama
154	Damascus Coil Alpha	
153	Damascus Coil Beta	
150	Death Stench Bowels Alpha	
149	Death Stench Bowels Beta	
160	Diablos Nero Coil Alpha	black;diablos
159	Diablos Nero Coil Beta	black;diablos
152	Dober Coil Alpha	
151	Dober Coil Beta	
162	Rath Soul Coil Alpha	azure;rathalos
161	Rath Soul Coil Beta	azure;rathalos
158	Uragaan Coil Alpha	
157	Uragaan Coil Beta	
178	Commission Belt Alpha	
177	Commission Belt Beta	
365	Dante's Belt Alpha	
180	Guild Cross Coil Alpha	
179	Guild Cross Coil Beta	
146	Kaiser Coil Alpha	teostra
145	Kaiser Coil Beta	teostra
140	Kirin Hoop Alpha	
139	Kirin Hoop Beta	
358	Kulve Taroth's Malice Alpha	
359	Kulve Taroth's Malice Beta	
144	Kushala Cocoon Alpha	kushala;daora
143	Kushala Cocoon Beta	kushala;daora
148	Nergigante Coil Alpha	
147	Nergigante Coil Beta	
142	Vaal Hazak Coil Alpha	
141	Vaal Hazak Coil Beta	
327	Vangis Coil Alpha	deviljho
328	Vangis Coil Beta	deviljho
138	Xeno'jiva Spine Alpha	xenojiva
137	Xeno'jiva Spine Beta	xenojiva
455	Empress Coil Alpha	lunastra
456	Empress Coil Beta	lunastra
